child_province,year,mean_isei,N,HASC_1
北京市,2010,,26,CN.BJ
北京市,2012,,22,CN.BJ
北京市,2014,47,80,CN.BJ
北京市,2016,45.837208,129,CN.BJ
北京市,2018,48.485714,105,CN.BJ
北京市,2020,46.329411,85,CN.BJ
北京市,2022,47.1875,96,CN.BJ
天津市,2010,,19,CN.TJ
天津市,2012,,26,CN.TJ
天津市,2014,42.557693,52,CN.TJ
天津市,2016,,45,CN.TJ
天津市,2018,,38,CN.TJ
天津市,2020,,36,CN.TJ
天津市,2022,,46,CN.TJ
河北省,2010,36.813953,172,CN.HE
河北省,2012,34.375633,197,CN.HE
河北省,2014,37.123257,430,CN.HE
河北省,2016,38.335526,456,CN.HE
河北省,2018,38.578087,429,CN.HE
河北省,2020,40.151588,409,CN.HE
河北省,2022,40.718678,423,CN.HE
山西省,2010,34.599998,140,CN.SX
山西省,2012,34.50893,112,CN.SX
山西省,2014,34.815701,293,CN.SX
山西省,2016,37.668571,350,CN.SX
山西省,2018,38.22472,267,CN.SX
山西省,2020,39.59108,269,CN.SX
山西省,2022,40.693798,258,CN.SX
内蒙古自治区,2014,,3,CN.NM
内蒙古自治区,2016,,10,CN.NM
内蒙古自治区,2018,,5,CN.NM
内蒙古自治区,2020,,6,CN.NM
内蒙古自治区,2022,,11,CN.NM
辽宁省,2010,32.88015,267,CN.LN
辽宁省,2012,32.403637,275,CN.LN
辽宁省,2014,35.292809,584,CN.LN
辽宁省,2016,37.424389,615,CN.LN
辽宁省,2018,37.310547,512,CN.LN
辽宁省,2020,38.547558,389,CN.LN
辽宁省,2022,39.216869,415,CN.LN
吉林省,2010,,46,CN.JL
吉林省,2012,,23,CN.JL
吉林省,2014,36.326088,92,CN.JL
吉林省,2016,38.907562,119,CN.JL
吉林省,2018,40.610527,95,CN.JL
吉林省,2020,41.90625,96,CN.JL
吉林省,2022,44.395603,91,CN.JL
黑龙江省,2010,34.035713,84,CN.HL
黑龙江省,2012,31.589285,56,CN.HL
黑龙江省,2014,36.977272,176,CN.HL
黑龙江省,2016,39.412697,189,CN.HL
黑龙江省,2018,40.524693,162,CN.HL
黑龙江省,2020,39.838711,124,CN.HL
黑龙江省,2022,39.655998,125,CN.HL
上海市,2010,46.541779,371,CN.SH
上海市,2012,47.088982,236,CN.SH
上海市,2014,45.964706,425,CN.SH
上海市,2016,45.564816,432,CN.SH
上海市,2018,47.226891,357,CN.SH
上海市,2020,49.43644,236,CN.SH
上海市,2022,48.986546,223,CN.SH
江苏省,2010,38.776119,67,CN.JS
江苏省,2012,40.764046,89,CN.JS
江苏省,2014,40.216496,194,CN.JS
江苏省,2016,41.049107,224,CN.JS
江苏省,2018,42.764706,153,CN.JS
江苏省,2020,46.942307,156,CN.JS
江苏省,2022,45.847828,138,CN.JS
浙江省,2010,,46,CN.ZJ
浙江省,2012,46.546665,75,CN.ZJ
浙江省,2014,43.511627,172,CN.ZJ
浙江省,2016,44.070797,226,CN.ZJ
浙江省,2018,43.831818,220,CN.ZJ
浙江省,2020,44.979866,149,CN.ZJ
浙江省,2022,45.698719,156,CN.ZJ
安徽省,2010,,19,CN.AH
安徽省,2012,,33,CN.AH
安徽省,2014,37.734104,173,CN.AH
安徽省,2016,41.494049,168,CN.AH
安徽省,2018,42.590549,127,CN.AH
安徽省,2020,43.833332,102,CN.AH
安徽省,2022,44.878506,107,CN.AH
福建省,2010,,46,CN.FJ
福建省,2012,,48,CN.FJ
福建省,2014,37.464912,114,CN.FJ
福建省,2016,40.264462,121,CN.FJ
福建省,2018,40.260868,92,CN.FJ
福建省,2020,41.135593,59,CN.FJ
福建省,2022,42.560608,66,CN.FJ
江西省,2010,37.210526,57,CN.JX
江西省,2012,35.725807,62,CN.JX
江西省,2014,38.852459,122,CN.JX
江西省,2016,38.234638,179,CN.JX
江西省,2018,41.426231,122,CN.JX
江西省,2020,40.848103,79,CN.JX
江西省,2022,42.613861,101,CN.JX
山东省,2010,34.988094,84,CN.SD
山东省,2012,33.077778,90,CN.SD
山东省,2014,36.879246,265,CN.SD
山东省,2016,40.348839,301,CN.SD
山东省,2018,41.126484,253,CN.SD
山东省,2020,42.188404,276,CN.SD
山东省,2022,43.244526,274,CN.SD
河南省,2010,38.139786,279,CN.HA
河南省,2012,36.247787,339,CN.HA
河南省,2014,36.945045,1019,CN.HA
河南省,2016,37.230843,1044,CN.HA
河南省,2018,39.638889,720,CN.HA
河南省,2020,40.256695,635,CN.HA
河南省,2022,40.401459,685,CN.HA
湖北省,2010,38.057144,70,CN.HB
湖北省,2012,,40,CN.HB
湖北省,2014,40.096775,93,CN.HB
湖北省,2016,40.231998,125,CN.HB
湖北省,2018,42.827587,87,CN.HB
湖北省,2020,41.986843,76,CN.HB
湖北省,2022,42.569229,65,CN.HB
湖南省,2010,41.512501,80,CN.HN
湖南省,2012,41.222221,81,CN.HN
湖南省,2014,41.16201,179,CN.HN
湖南省,2016,41.901234,243,CN.HN
湖南省,2018,43.316383,177,CN.HN
湖南省,2020,43.912281,114,CN.HN
湖南省,2022,45.966888,151,CN.HN
广东省,2010,37.930515,331,CN.GD
广东省,2012,37.214287,280,CN.GD
广东省,2014,38.655655,787,CN.GD
广东省,2016,40.887238,1144,CN.GD
广东省,2018,41.623573,789,CN.GD
广东省,2020,42.748005,627,CN.GD
广东省,2022,44.104233,614,CN.GD
广西壮族自治区,2010,29.262501,80,CN.GX
广西壮族自治区,2012,27.545454,55,CN.GX
广西壮族自治区,2014,32.631016,187,CN.GX
广西壮族自治区,2016,31.918919,222,CN.GX
广西壮族自治区,2018,32.456955,151,CN.GX
广西壮族自治区,2020,34.044247,113,CN.GX
广西壮族自治区,2022,38.244095,127,CN.GX
海南省,2014,,3,CN.HI
海南省,2016,,5,CN.HI
海南省,2018,,7,CN.HI
海南省,2020,,2,CN.HI
海南省,2022,,7,CN.HI
重庆市,2010,,33,CN.CQ
重庆市,2012,,18,CN.CQ
重庆市,2014,37.180328,61,CN.CQ
重庆市,2016,37.795181,83,CN.CQ
重庆市,2018,42.5,68,CN.CQ
重庆市,2020,,40,CN.CQ
重庆市,2022,,36,CN.CQ
四川省,2010,31.847927,217,CN.SC
四川省,2012,34.360294,136,CN.SC
四川省,2014,31.72431,399,CN.SC
四川省,2016,34.687897,471,CN.SC
四川省,2018,35.191544,402,CN.SC
四川省,2020,37.61977,263,CN.SC
四川省,2022,39.035435,254,CN.SC
贵州省,2010,28.734043,94,CN.GZ
贵州省,2012,30.663717,113,CN.GZ
贵州省,2014,32,198,CN.GZ
贵州省,2016,34.015152,330,CN.GZ
贵州省,2018,34.676056,213,CN.GZ
贵州省,2020,39.148148,135,CN.GZ
贵州省,2022,39.144928,138,CN.GZ
云南省,2010,28.157408,108,CN.YN
云南省,2012,28.081871,171,CN.YN
云南省,2014,31.705168,329,CN.YN
云南省,2016,33.588627,299,CN.YN
云南省,2018,33.054237,295,CN.YN
云南省,2020,35.971195,243,CN.YN
云南省,2022,37.267944,209,CN.YN
西藏自治区,2016,,3,CN.XZ
西藏自治区,2018,,7,CN.XZ
西藏自治区,2020,,4,CN.XZ
西藏自治区,2022,,4,CN.XZ
陕西省,2010,36.548386,62,CN.SN
陕西省,2012,,47,CN.SN
陕西省,2014,38.22086,163,CN.SN
陕西省,2016,40.375,208,CN.SN
陕西省,2018,42.648483,165,CN.SN
陕西省,2020,40.636364,154,CN.SN
陕西省,2022,44.378788,132,CN.SN
甘肃省,2010,31.523943,355,CN.GS
甘肃省,2012,29.223463,358,CN.GS
甘肃省,2014,32.940136,1019,CN.GS
甘肃省,2016,34.861771,1266,CN.GS
甘肃省,2018,35.166302,914,CN.GS
甘肃省,2020,36.368942,805,CN.GS
甘肃省,2022,37.305637,674,CN.GS
青海省,2016,,4,CN.QH
青海省,2018,,5,CN.QH
青海省,2020,,6,CN.QH
青海省,2022,,12,CN.QH
宁夏回族自治区,2014,,2,CN.NX
宁夏回族自治区,2016,,10,CN.NX
宁夏回族自治区,2018,,8,CN.NX
宁夏回族自治区,2020,,6,CN.NX
宁夏回族自治区,2022,,14,CN.NX
新疆维吾尔自治区,2014,,9,CN.XJ
新疆维吾尔自治区,2016,,29,CN.XJ
新疆维吾尔自治区,2018,,37,CN.XJ
新疆维吾尔自治区,2020,,59,CN.XJ
新疆维吾尔自治区,2022,,43,CN.XJ
